max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
8,onehot,0,19,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5722003199514889,0.7139137,0.712931,0.71651787,0.7145538,0.5693507790565491,0.710156261920929,0.7105595469474792,0.7093750238418579,0.7099272012710571
8,onehot,0,20,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5665842670769918,0.719029,0.7182123,0.72154015,0.71973926,0.5624143481254578,0.717968761920929,0.7201054096221924,0.714062511920929,0.7170122861862183
11,onehot,0,1,64,64,0.002,0.4,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.693384607632955,0.49079242,0.4882059,0.38634673,0.4299014,0.6927130222320557,0.47578126192092896,0.4722159504890442,0.3656249940395355,0.41085249185562134
8,onehot,0,1,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.696039637639409,0.48204985,0.4861835,0.63932294,0.55181396,0.6973593831062317,0.48515623807907104,0.48963743448257446,0.668749988079071,0.5649507641792297
8,onehot,0,2,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6932153417950585,0.5202753,0.5169557,0.6370908,0.5701394,0.6940786838531494,0.528124988079071,0.5227200388908386,0.659375011920929,0.5827746987342834
8,onehot,0,3,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.690459457891328,0.5587798,0.5512751,0.6337426,0.5890127,0.690632700920105,0.5882812738418579,0.5780081748962402,0.659375011920929,0.6152133941650391
8,onehot,0,4,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6871237102009001,0.59561014,0.5890252,0.6385789,0.6121505,0.6865350008010864,0.6226562261581421,0.6173838973045349,0.6499999761581421,0.6325916647911072
8,onehot,0,5,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6828668890964418,0.6215588,0.61854786,0.6369048,0.6269278,0.6810262203216553,0.63671875,0.6369656324386597,0.637499988079071,0.6366947889328003
8,onehot,0,6,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6765563580251875,0.640532,0.6400714,0.6432292,0.6411019,0.6726800203323364,0.6484375,0.6476684808731079,0.6484375,0.6475473642349243
8,onehot,0,7,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.66636494298776,0.6422061,0.64217895,0.6437872,0.64263546,0.6612635850906372,0.64453125,0.6427334547042847,0.6499999761581421,0.6460103392601013
