max_len,epochs,batch_size,embedding_input,embedding_dim,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
5,17,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.645877018439031,0.6272124,0.62769574,0.6272124,0.62648535,0.726864576339722,0.61904764175415,0.618983447551727,0.61904764175415,0.618961751461029
5,18,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.649795888535744,0.6157817,0.61707824,0.61338496,0.61433053,0.72828209400177,0.616815447807312,0.617092669010162,0.616071403026581,0.616535425186157
5,19,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.64958566110746,0.61827064,0.61881477,0.6181785,0.6176691,0.726728498935699,0.621279776096344,0.620459854602814,0.623511910438538,0.621889889240265
5,20,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648767180674899,0.61827064,0.61897177,0.61873156,0.6178776,0.725479602813721,0.61532735824585,0.617162764072418,0.607142865657806,0.611991107463837
5,21,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648418933944365,0.61836284,0.620779,0.61283183,0.61584246,0.726782441139221,0.61532735824585,0.615779638290405,0.611607134342194,0.613601386547089
5,22,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.649005423956564,0.61836284,0.62021744,0.6157817,0.61714697,0.725461959838867,0.61904764175415,0.618802547454834,0.620535731315613,0.619614899158478
5,23,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.64890590784824,0.6200221,0.6213335,0.6179941,0.61890167,0.728018641471863,0.616071403026581,0.616071403026581,0.616071403026581,0.616071403026581
5,24,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648915197469492,0.6202065,0.62027305,0.62094396,0.61987364,0.725792169570923,0.61532735824585,0.615616261959076,0.613095223903656,0.614282131195068
5,25,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.649202597264343,0.61882377,0.61887044,0.61836284,0.61787146,0.724060118198395,0.614583313465118,0.614309012889862,0.614583313465118,0.6143519282341
5,26,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.646546258159795,0.6211283,0.6212486,0.6211283,0.6204263,0.724243521690369,0.616815447807312,0.618083894252777,0.611607134342194,0.614708065986633
5,27,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648022196549582,0.62407815,0.6254386,0.62260324,0.6232822,0.725141942501068,0.623511910438538,0.624603152275085,0.61904764175415,0.621735692024231
5,28,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648210132983582,0.6232485,0.62428814,0.6216814,0.6221081,0.726027727127075,0.61904764175415,0.618977546691895,0.617559552192688,0.618215501308441
5,29,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.646504423787109,0.6222345,0.62227416,0.62407815,0.62245303,0.731318712234497,0.61532735824585,0.616219818592072,0.610119044780731,0.612986922264099
5,30,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.644124136386016,0.62297195,0.6246094,0.6207596,0.62186104,0.727280020713806,0.617559552192688,0.618353188037872,0.613095223903656,0.615639328956604
