max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,learn,100,3,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9556081496874491,0.5290833,0.66730195,0.277,0.3859517,0.9991639256477356,0.4868951737880707,0.5830540060997009,0.25705644488334656,0.3546180725097656
20,learn,100,4,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.942823088645935,0.54358333,0.66717935,0.30570832,0.41465122,0.9340806007385254,0.48823925852775574,0.5775455832481384,0.2728494703769684,0.3686184287071228
20,learn,100,5,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9210987751483917,0.56083333,0.66613424,0.345875,0.45105115,0.9777650833129883,0.48991936445236206,0.6014953255653381,0.25537633895874023,0.3563401401042938
20,learn,100,6,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9066533822218578,0.572,0.666509,0.38445833,0.4838866,0.9457990527153015,0.4932795763015747,0.5479285717010498,0.35181450843811035,0.4269663393497467
20,learn,100,7,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8967376783688863,0.5774583,0.6698026,0.39666668,0.4949675,0.9614865779876709,0.4858871102333069,0.5637874603271484,0.31216397881507874,0.39922696352005005
20,learn,100,8,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8894546570777893,0.585375,0.6759642,0.40891665,0.5057795,0.9514495134353638,0.4895833432674408,0.5445612668991089,0.3114919364452362,0.3946288824081421
20,learn,100,9,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8825699970722198,0.59404165,0.68184966,0.42254168,0.51869845,0.9612502455711365,0.4912634491920471,0.5516612529754639,0.3151881694793701,0.3993370234966278
20,learn,100,10,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8803752810955048,0.5919167,0.68211037,0.42208335,0.51845145,0.9988177418708801,0.4963037669658661,0.5480113625526428,0.34979838132858276,0.42548394203186035
10,learn,50,1,64,64,0.0001,0.3,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0911617472966513,0.37945834,0.0079999985,0.000125,0.00024615382,1.0890614986419678,0.42051631212234497,0.20652171969413757,0.0033967390190809965,0.0066788275726139545
10,onehot,0,1,16,32,0.01,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0985203850269318,0.33508334,0.0,0.0,0.0,1.1023616790771484,0.33489304780960083,0.0,0.0,0.0
