max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,learn,100,7,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.41646642915407817,0.8225,0.8554117,0.788625,0.82003206,2.06142520904541,0.47479838132858276,0.4872937500476837,0.4375,0.46065324544906616
20,learn,100,8,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3938154421945413,0.8325,0.86578166,0.800625,0.8314013,2.277294158935547,0.46337366104125977,0.46724069118499756,0.42103493213653564,0.4424856901168823
20,learn,100,9,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3769552244345347,0.83879167,0.871159,0.807625,0.83763015,2.4436733722686768,0.4657258093357086,0.4741504490375519,0.4297715127468109,0.4505270719528198
20,learn,100,10,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3651920040945212,0.84370834,0.8743952,0.81441665,0.84287167,2.4652583599090576,0.4563172161579132,0.46383342146873474,0.4254032373428345,0.4435045123100281
20,learn,100,11,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3533448184231917,0.84845835,0.87724924,0.81929165,0.846749,2.58388614654541,0.4536290466785431,0.4647783935070038,0.4213709533214569,0.4416375458240509
20,learn,100,12,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.342270352691412,0.85129166,0.8821154,0.8235833,0.8513373,2.498476505279541,0.4603494703769684,0.46263372898101807,0.4223790466785431,0.4412901699542999
20,learn,100,13,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3393301618496577,0.85320836,0.8833972,0.82575,0.85309166,2.841193199157715,0.4536290466785431,0.4597446918487549,0.4230510890483856,0.4403795301914215
20,learn,100,14,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3327854408224424,0.8562083,0.88583046,0.82816666,0.8555021,2.7519736289978027,0.457325279712677,0.46319231390953064,0.4280914068222046,0.4445997178554535
20,learn,100,15,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.32802457771698634,0.85908335,0.8879014,0.83033335,0.857649,2.8326854705810547,0.4543010890483856,0.46288061141967773,0.4217069745063782,0.4410301446914673
20,learn,100,16,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.323017766430974,0.8616667,0.8903459,0.8342083,0.86085594,2.7208986282348633,0.448924720287323,0.4559408724308014,0.4183467626571655,0.4359464645385742
20,learn,100,17,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3171393639743328,0.8610833,0.8900275,0.834875,0.8610958,2.908074140548706,0.4442204236984253,0.451084703207016,0.41263440251350403,0.43072497844696045
20,learn,100,18,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.313139667848746,0.862875,0.893073,0.838125,0.8642339,2.871304512023926,0.4411962330341339,0.44873905181884766,0.4102822542190552,0.42831888794898987
20,learn,100,19,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.309838950663805,0.8645,0.8944798,0.83879167,0.8652228,3.009491443634033,0.4553091526031494,0.45895081758499146,0.41901880502700806,0.43774160742759705
20,learn,100,20,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.3057468022008737,0.867125,0.8950688,0.840375,0.8663971,2.9211175441741943,0.4556451737880707,0.4552580714225769,0.4217069745063782,0.4375961422920227
20,learn,50,1,256,1,16,0.002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,1.0450554195270743,0.44640458,0.58789897,0.078125,0.13118201,0.983595609664917,0.4921875,0.6683655381202698,0.18004260957241058,0.2834559977054596
20,learn,50,2,256,1,16,0.002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.9527826373295117,0.5438928,0.6622206,0.27389953,0.3858019,0.9536807537078857,0.5330255627632141,0.651659369468689,0.25284090638160706,0.3639271855354309
20,learn,50,3,256,1,16,0.002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.8897836810799056,0.59454805,0.68611956,0.3860887,0.49341375,0.9392760396003723,0.5276988744735718,0.598886251449585,0.3355823755264282,0.42983025312423706
20,learn,50,4,256,1,16,0.002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.82661098113624,0.6355427,0.7205939,0.47080812,0.5691403,0.9503800868988037,0.5284090638160706,0.5658775568008423,0.37961646914482117,0.4542004466056824
20,learn,50,5,256,1,16,0.002,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.7606427977162022,0.67578125,0.7511952,0.54259074,0.62977195,0.9930009841918945,0.5216619372367859,0.5519638657569885,0.4076704680919647,0.46883103251457214
20,glove.6B.100d,100,1,64,1,16,0.001,0.4,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,1.1851801589330038,0.362625,0.38573316,0.16204166,0.22182232,1.085985541343689,0.41202446818351746,0.5755606293678284,0.052309781312942505,0.09509014338254929
,one_hot,0,1,16,1,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,1.0069456473986307,0.49395832,0.52161217,0.15025,0.22266506,0.9454557299613953,0.5360962748527527,0.6670092344284058,0.2553475797176361,0.3618001639842987
20,one_hot,0,1,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0920259828567505,0.38304168,0.0,0.0,0.0,1.1016727685928345,0.42473119497299194,0.0,0.0,0.0
20,one_hot,0,2,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0747555424372355,0.459125,0.0,0.0,0.0,1.0799071788787842,0.4670698940753937,0.0,0.0,0.0
20,one_hot,0,3,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.059611384232839,0.49433333,0.02533333,0.00083333335,0.001611408,1.0593833923339844,0.48991936445236206,0.04301074892282486,0.0013440860202535987,0.0026067120488733053
20,one_hot,0,4,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0461607331434886,0.5145,0.16444443,0.005625,0.010852178,1.0412681102752686,0.5020161271095276,0.25806450843811035,0.010080644860863686,0.019285285845398903
20,one_hot,0,5,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.034143851439158,0.526875,0.38666666,0.01575,0.03005361,1.024256944656372,0.511424720287323,0.5,0.022513441741466522,0.04270131513476372
20,one_hot,0,6,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0233464523156484,0.53329164,0.5893554,0.031875,0.059721407,1.0091406106948853,0.5164650678634644,0.607168436050415,0.03494623675942421,0.06516672670841217
20,one_hot,0,7,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0136387883027396,0.5399167,0.6968283,0.04625,0.08541364,0.9955670833587646,0.5215053558349609,0.6884281635284424,0.05006720498204231,0.09151798486709595
20,one_hot,0,8,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,1.0048876202106476,0.54683334,0.7503488,0.06379167,0.11541024,0.9834580421447754,0.5248655676841736,0.7657194137573242,0.06451612710952759,0.11603929847478867
20,one_hot,0,9,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9969525423844655,0.549875,0.7915266,0.084625,0.14985505,0.9721347093582153,0.5288978219032288,0.7597543001174927,0.08198924362659454,0.14472424983978271
20,one_hot,0,10,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9897490231990814,0.55441666,0.7920869,0.10279167,0.17842393,0.9623556137084961,0.5292338728904724,0.742332398891449,0.09879032522439957,0.1707248091697693
20,one_hot,0,11,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9831926741600037,0.558375,0.7901213,0.120291665,0.20477802,0.9534695148468018,0.53125,0.7454045414924622,0.11525537818670273,0.1950015425682068
20,one_hot,0,12,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9772028650442759,0.5607917,0.78640884,0.136125,0.2277147,0.9453470706939697,0.5332661271095276,0.7345579266548157,0.12735214829444885,0.21244794130325317
20,one_hot,0,13,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9716958757241567,0.563125,0.7813807,0.15020834,0.24751788,0.9378340840339661,0.5362903475761414,0.7278594970703125,0.13776881992816925,0.22728198766708374
20,one_hot,0,14,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9666150834560394,0.56616664,0.7812652,0.16020833,0.2612052,0.9310521483421326,0.5372983813285828,0.7217381000518799,0.14919355511665344,0.2429434061050415
20,one_hot,0,15,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.961936500787735,0.56854165,0.77689964,0.17129166,0.2758101,0.9246920943260193,0.5366263389587402,0.7136514186859131,0.15557795763015747,0.2509302794933319
20,one_hot,0,16,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9575905690193176,0.56929165,0.77398276,0.17883334,0.28558797,0.9192777872085571,0.5359542965888977,0.7135802507400513,0.1619623601436615,0.2594187259674072
