lr,epochs,acc,precision,recall,f1score,val_acc,val_precision,val_recall,val_f1score
0.005,6,0.594655721226336,0.593647681115453,0.5945959378979614,0.59400112363794,0.5221031480241125,0.5204011769026636,0.5229918235750277,0.5213100493007782
0.005,7,0.597420003350645,0.5964334817228162,0.5973638518674025,0.5967883416482948,0.5200937709310114,0.5187298057196017,0.520952596179527,0.5195358277003849
0.005,8,0.5993885072876529,0.5984416562048364,0.5993353910167735,0.5987824787795759,0.5204286671131949,0.5193178809097465,0.5212431087144789,0.520045791147362
0.005,9,0.5990534427877366,0.5981835388724276,0.5990034724588728,0.5984999228475066,0.5187541862022773,0.5176428317046705,0.5195886837427989,0.5183761709052981
0.005,10,0.6007706483498073,0.5999051819491413,0.6007233986880406,0.600222126831122,0.5154052243804421,0.5142872084731938,0.5162552371429548,0.5150275522378297
0.001,1,0.5169626403082593,0.5170141356964976,0.5165211627285197,0.508077643922306,0.5046885465505693,0.5042885901662276,0.5054538308538266,0.4969060543177457
0.001,2,0.5374853409281287,0.5364204142380333,0.5371683104702266,0.5323414630548425,0.5130609511051574,0.5104006045802388,0.5138723833698476,0.5078685453469588
0.001,3,0.54803987267549,0.5467693742143771,0.5477964779051075,0.5444541784741529,0.5254521098459477,0.5233477091707218,0.526248535749635,0.522079413954468
0.001,4,0.5571284972357179,0.5556371147773341,0.5569271297055625,0.5543804401347187,0.5314802411252512,0.5294593274645717,0.5323225935881286,0.5287158064332794
0.01,1,0.5642905009214274,0.5641886920872944,0.5641215470916915,0.5637013974678244,0.5204286671131949,0.5200099802350929,0.5209141663980689,0.5201767389849327
0.01,2,0.5806248952923437,0.5805300810551356,0.5805053621458303,0.5803483958902621,0.5160750167448092,0.5152300190709607,0.5166919629104229,0.5157941034063781
0.01,3,0.5865722901658569,0.5866697966503608,0.5864734212870018,0.5865093760292244,0.5093770931011387,0.5088921920334956,0.5100111310642578,0.509353696644932
0.01,4,0.5908443625397889,0.5911605827866256,0.5907486271873603,0.5908893973420115,0.5103817816476892,0.510032362459547,0.5110394343901336,0.5104744465833453
0.01,5,0.5923102697269225,0.5926196410063459,0.5922196770345258,0.5923607481353198,0.5080375083724046,0.5079823749848255,0.5086944435586163,0.508314548459476
0.01,6,0.5944463059138885,0.5947401339444595,0.5943492103215527,0.5944816958589038,0.5040187541862022,0.5040045940582031,0.5046983083918888,0.5043299487044526
